Date (summer '15),Pond,GMF,SA
1-Apr,Pond A,0,1
1-Apr,Pond B,0,1
1-Apr,Pond C,1,1
1-Apr,Pond D,0,1
4-Apr,Pond A,1,0
4-Apr,Pond B,0,1
4-Apr,Pond C,1,1
4-Apr,Pond D,1,1
7-Apr,Pond A,0,0
7-Apr,Pond B,1,0
7-Apr,Pond C,0,0
7-Apr,Pond D,0,0
10-Apr,Pond A,0,0
10-Apr,Pond B,0,0
10-Apr,Pond C,1,0
10-Apr,Pond D,0,0
13-Apr,Pond A,0,0
13-Apr,Pond B,0,0
13-Apr,Pond C,0,0
13-Apr,Pond D,0,0
16-Apr,Pond A,0,0
16-Apr,Pond B,0,0
16-Apr,Pond C,0,0
16-Apr,Pond D,0,0
19-Apr,Pond A,0,0
19-Apr,Pond B,0,0
19-Apr,Pond C,0,0
19-Apr,Pond D,0,0
22-Apr,Pond A,0,0
22-Apr,Pond B,0,0
22-Apr,Pond C,1,0
22-Apr,Pond D,1,0
25-Apr,Pond A,0,0
25-Apr,Pond B,1,0
25-Apr,Pond C,0,0
25-Apr,Pond D,0,0
28-Apr,Pond A,0,0
28-Apr,Pond B,1,0
28-Apr,Pond C,0,0
28-Apr,Pond D,0,0
5/1/2015,Pond A,0,0
5/1/2015,Pond B,1,0
5/1/2015,Pond C,0,0
5/1/2015,Pond D,0,0
4-May,Pond A,0,0
4-May,Pond B,1,0
4-May,Pond C,0,0
4-May,Pond D,0,0
7-May,Pond A,1,0
7-May,Pond B,1,0
7-May,Pond C,0,0
7-May,Pond D,0,0
10-May,Pond A,0,1
10-May,Pond B,1,1
10-May,Pond C,0,1
10-May,Pond D,0,1
16-May,Pond A,0,1
16-May,Pond B,1,1
16-May,Pond C,0,0
16-May,Pond D,1,0
19-May,Pond A,1,0
19-May,Pond B,0,0
19-May,Pond C,1,0
19-May,Pond D,0,0
22-May,Pond A,1,0
22-May,Pond B,0,0
22-May,Pond C,0,0
22-May,Pond D,0,0
25-May,Pond A,0,0
25-May,Pond B,1,0
25-May,Pond C,0,0
25-May,Pond D,1,0
28-May,Pond A,0,0
28-May,Pond B,0,0
28-May,Pond C,0,0
28-May,Pond D,1,1
31-May,Pond A,1,0
31-May,Pond B,0,0
31-May,Pond C,0,1
31-May,Pond D,0,1
3-Jun,Pond A,1,1
3-Jun,Pond B,1,1
3-Jun,Pond C,0,0
3-Jun,Pond D,1,0
6-Jun,Pond A,0,0
6-Jun,Pond B,1,1
6-Jun,Pond C,0,0
6-Jun,Pond D,1,0
9-Jun,Pond A,1,1
9-Jun,Pond B,1,0
9-Jun,Pond C,1,0
9-Jun,Pond D,1,1
12-Jun,Pond A,0,0
12-Jun,Pond B,0,0
12-Jun,Pond C,0,0
12-Jun,Pond D,0,0
18-Jun,Pond A,1,0
18-Jun,Pond B,0,0
18-Jun,Pond C,0,0
18-Jun,Pond D,1,0
21-Jun,Pond A,1,0
21-Jun,Pond B,1,0
21-Jun,Pond C,1,0
21-Jun,Pond D,1,0
24-Jun,Pond A,1,0
24-Jun,Pond B,1,0
24-Jun,Pond C,1,1
24-Jun,Pond D,1,1
27-Jun,Pond A,1,0
27-Jun,Pond B,1,0
27-Jun,Pond C,1,0
27-Jun,Pond D,1,0
30-Jun,Pond A,0,0
30-Jun,Pond B,0,0
30-Jun,Pond C,0,0
30-Jun,Pond D,0,0
