JDATE,Pond,GMF,SA
85,A,2.6,4.2
85,B,1.7,1.5
85,C,2.6,2.2
85,D,1.7,3.2
89,A,1.9,3.3
89,B,3.7,0.8
89,C,2.8,4.1
89,D,2,5.7
91,A,2,4.7
91,B,2,
91,C,2.2,3.2
91,D,2.1,
92,A,3.3,5
92,B,1.4,1.7
92,C,2.1,1.1
92,D,2,2.2
93,A,2.7,1.2
93,B,3.5,3.4
93,C,2.7,1.3
93,D,2.4,0.8
94,A,2.2,1.4
94,B,1.6,1.3
94,C,1.1,1.9
94,D,2,2.1
95,A,5,6.6
95,B,1.4,8.5
95,C,2,6.5
95,D,2.7,9.6
96,A,2.9,9.3
96,B,3.8,5.5
96,C,3.1,3.7
96,D,1.4,4.2
97,A,3.9,6.5
97,B,4.9,7.5
97,C,0.4,4.6
97,D,2,4.9
100,A,1.7,4.4
100,B,1.6,7.2
100,C,1.9,8.4
100,D,2.9,6.8
103,A,3.2,6.4
103,B,2.8,5.3
103,C,1.6,5.2
103,D,-0.2,5
106,A,2.9,5.3
106,B,2.2,4.4
106,C,1.6,7.5
106,D,4.8,5
109,A,1.4,5.2
109,B,4.1,3.6
109,C,3.3,4.3
109,D,5.6,2.5
112,A,12.6,3.1
112,B,25.1,9.5
112,C,13.4,3.3
112,D,15.8,2.9
115,A,4,4.6
115,B,30.1,5.7
115,C,8.8,3.4
115,D,2.5,1.5
118,A,3.3,2.5
118,B,30.5,6.1
118,C,9.9,2.6
118,D,10,7.2
121,A,3.4,7.7
121,B,8.5,8.8
121,C,3.5,17.3
121,D,3.4,6.2
124,A,16.4,-1.1
124,B,3.9,12.3
124,C,3.2,1.1
124,D,38.6,2.6
127,A,17.6,6.3
127,B,16.2,6.2
127,C,9,7.8
127,D,8.3,6.7
130,A,10.2,9.2
130,B,-0.4,6.6
130,C,3.1,9.1
130,D,4.1,6.6
133,A,25.8,5.2
133,B,15.5,7.7
133,C,13.9,6
133,D,5.1,5.7
136,A,28.8,8.8
136,B,3.7,14
136,C,12,8.9
136,D,15.3,8.5
139,A,-1.9,6.8
139,B,9.6,9.3
139,C,7.4,7.8
139,D,2.5,4.6
142,A,6.9,
142,B,10.2,
142,C,4.3,
142,D,8.6,
145,A,3.7,4.4
145,B,6.3,6.9
145,C,4.3,4.8
145,D,5.3,3.9
148,A,2.5,2.2
148,B,1.5,1.6
148,C,5.3,2.8
148,D,5.7,2.8
151,A,5.1,2.4
151,B,38.3,7.8
151,C,6.7,7.1
151,D,2.9,3.1
154,A,3.5,7.5
154,B,3.5,5.4
154,C,4.3,5.5
154,D,6.4,3.5
157,A,11,9.8
157,B,14.1,5.5
157,C,11.8,3.9
157,D,11.2,6.9
160,A,15.1,5.2
160,B,3.6,4.9
160,C,11.7,5.4
160,D,8,6.6
163,A,2.4,9
163,B,3.5,7.5
163,C,3.2,5.9
163,D,0.4,7.5
166,A,7.7,6.1
166,B,4,7.3
166,C,4.6,7.8
166,D,4.4,5.4
169,A,2.1,9.5
169,B,4.3,6.5
169,C,2.4,10.5
169,D,2.1,13.7
172,A,8.1,9.6
172,B,30,5.4
172,C,10,7.8
172,D,10.8,7.1
175,A,10.3,6.1
175,B,43.8,7.5
175,C,3.6,8
175,D,2.4,8
178,A,3.3,10.4
178,B,4.8,6.6
178,C,4.5,6.5
178,D,1.8,7
181,A,4.1,4.4
181,B,53.2,7.2
181,C,2.4,8.4
181,D,2.2,6.8
